,场外代码,基金简称,最新净值/万份收益,最新净值/万份收益-报告时间,申购状态,赎回状态,下一开放日,购买起点,日累计限定金额,手续费,场内代码,名称,最新价,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,换手率,流通市值,总市值,溢价率%,买入确认日,卖出确认日
0,161116,易方达黄金主题人民币A,1.328,06-03,限大额,开放赎回,,10.0,100.0,0.1,161116,黄金主题LOF,1.453,-0.02,-1.36,4037128.0,590625446.86,1.479,1.484,1.446,1.473,,354228157.0,354228157.0,9.412650602409638,T+2,T+2
1,501032,财通福盛混合发起(LOF)A,1.1224,06-04,开放申购,开放赎回,,10.0,100000000000.0,0.15,501032,财通福盛混合LOF,1.183,0.108,10.05,1102.0,127882.0,1.086,1.183,1.086,1.075,18.24,714769.0,714769.0,5.399144689950106,T+1,T+1
348,501038,银华明择多策略定期开放混合,1.9109,06-04,暂停申购,暂停赎回,2026-10-15,10.0,100000000000.0,0.15,501038,银华明择,1.811,-0.001,-0.06,195.0,34608.0,1.771,1.816,1.771,1.812,0.2,17947916.0,17947916.0,-5.227903082317238,,
349,160325,华夏创业板两年定开混合,0.8263,06-04,暂停申购,暂停赎回,2026-08-20,10.0,100000000000.0,0.15,160325,华夏创业板定开,0.78,0.005,0.65,2216.0,172634.393,0.757,0.78,0.757,0.775,0.21,84200927.0,84200927.0,-5.603291782645528,,
350,160529,博时创业板两年定开混合,0.9291,06-04,暂停申购,暂停赎回,2026-09-28,10.0,100000000000.0,0.15,160529,创业板博时定开,0.876,-0.005,-0.57,260.0,22809.876,0.879,0.879,0.876,0.881,0.07,32395631.0,32395631.0,-5.715208266063936,,
351,162720,广发创业板两年定开混合,0.8104,06-04,暂停申购,暂停赎回,2026-10-29,10.0,100000000000.0,0.15,162720,广发创业板定开,0.764,-0.003,-0.39,77.0,5884.0,0.767,0.767,0.764,0.767,0.01,111440401.0,111440401.0,-5.7255676209279365,,
352,160726,嘉实瑞享定期混合,0.9496,06-04,暂停申购,暂停赎回,2026-09-14,10.0,100000000000.0,0.15,160726,嘉实瑞享定开,0.894,0.004,0.45,38.0,3409.2,0.895,0.899,0.894,0.89,0.01,34910401.0,34910401.0,-5.855096882898061,,
353,160143,南方创业板2年定期开放混合,0.9239,06-04,暂停申购,暂停赎回,2026-09-01,10.0,100000000000.0,0.15,160143,创业板定开南方,0.867,0.005,0.58,1431.0,123515.214,0.862,0.867,0.862,0.862,0.55,22548737.0,22548737.0,-6.158675181296683,,
354,160926,大成创业板两年定开混合A,0.8533,06-04,暂停申购,暂停赎回,2026-08-13,10.0,100000000000.0,0.15,160926,创业板定开,0.8,0.002,0.25,90.0,7191.9,0.798,0.8,0.798,0.798,0.01,61524054.0,61524054.0,-6.246337747568253,,
355,161040,富国创业板两年定开混合,1.1331,06-04,暂停申购,暂停赎回,2026-08-10,10.0,100000000000.0,0.15,161040,创业富国定开,1.06,0.005,0.47,838.0,89277.1,1.058,1.066,1.058,1.055,0.13,69587100.0,69587100.0,-6.45132821463242,,
356,166024,中欧恒利三年定期开放混合,0.9827,06-04,暂停申购,暂停赎回,2026-12-01,10.0,100000000000.0,0.15,166024,中欧恒利定开,0.916,0.002,0.22,1443.0,132349.3,0.918,0.919,0.916,0.914,0.17,78707695.0,78707695.0,-6.787422407652384,,
357,161914,万家创业板2年定期开放混合A,0.6836,06-04,暂停申购,暂停赎回,2026-10-08,10.0,100000000000.0,0.15,161914,创业板2年定开,0.635,0.0,0.0,4631.0,292044.654,0.639,0.643,0.629,0.635,0.29,102949495.0,102949495.0,-7.109420713867756,,
358,506002,易方达科创板两年定开混合,0.9407,06-04,暂停申购,暂停赎回,2026-09-28,10.0,100000000000.0,0.15,506002,易方达科创板,0.873,0.003,0.34,9969.0,869364.0,0.875,0.88,0.87,0.87,0.46,190111813.0,190111813.0,-7.1967683639842654,,
359,501065,汇添富经典成长定开混合,1.0566,06-04,暂停申购,暂停赎回,2028-01-03,10.0,100000000000.0,0.15,501065,经典成长,0.977,0.001,0.1,23.0,2245.0,0.976,0.977,0.976,0.976,0.02,12537450.0,12537450.0,-7.533598334279766,,
360,166027,中欧创业板两年定开混合A,0.8341,06-04,暂停申购,暂停赎回,2026-07-16,10.0,100000000000.0,0.15,166027,中欧创业定开,0.771,0.011,1.45,2261.0,173621.16,0.765,0.771,0.764,0.76,0.3,57748188.0,57748188.0,-7.565040163049987,,
361,506001,万家科创板2年定开混合,1.0103,06-04,暂停申购,暂停赎回,2026-08-31,10.0,100000000000.0,0.15,506001,万家科创板,0.93,0.0,0.0,2054.0,190705.0,0.926,0.931,0.926,0.93,0.19,101998959.0,101998959.0,-7.948134217559135,,
362,506006,汇添富科创板2年定开混合,0.8812,06-04,暂停申购,暂停赎回,2026-08-24,10.0,100000000000.0,0.15,506006,汇添富科创板,0.811,0.002,0.25,25030.0,2025575.0,0.81,0.812,0.805,0.809,1.13,178963370.0,178963370.0,-7.966409441670441,,
363,506005,博时科创板三年定开混合,0.8726,06-04,暂停申购,暂停赎回,2026-08-10,10.0,100000000000.0,0.15,506005,科创板博时,0.8,0.002,0.25,11905.0,952913.0,0.798,0.802,0.798,0.798,0.16,597932160.0,597932160.0,-8.319963327985331,,
