,场外代码,基金简称,最新净值/万份收益,最新净值/万份收益-报告时间,申购状态,赎回状态,下一开放日,购买起点,日累计限定金额,手续费,场内代码,名称,最新价,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,换手率,流通市值,总市值,溢价率%,买入确认日,卖出确认日,jjfl_url
0,502003,易方达中证军工(LOF)A,1.4363,07-29,开放申购,开放赎回,,10.0,99999999999.0,0.1,502003,军工LOF,1.711,0.156,10.03,9541.0,1624586.0,1.555,1.711,1.555,1.555,5.94,27504667,27504667,19.125530877950304,T+1,T+1,https://fundf10.eastmoney.com/jjfl_502003.html
1,501031,汇添富中证环境治理指数(LOF)C,0.5305,07-29,开放申购,开放赎回,,10.0,100000000000.0,0.0,501031,环境治理LOFC,0.58,0.053,10.06,3128.0,166682.0,0.523,0.58,0.523,0.527,7.26,2498640,2498640,9.330819981149856,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501031.html
2,165309,建信沪深300指数(LOF),1.712,07-29,开放申购,开放赎回,,10.0,100000000000.0,0.12,165309,沪深300LOF建信,1.856,0.164,9.69,601.0,106264.1,1.707,1.856,1.705,1.692,3.08,3619928,3619928,8.411214953271037,T+1,T+1,https://fundf10.eastmoney.com/jjfl_165309.html
3,160726,嘉实瑞享定期混合,1.0064,07-29,暂停申购,暂停赎回,2026-09-14,10.0,100000000000.0,0.15,160726,嘉实瑞享定开,0.952,0.007,0.74,664.0,63449.1,0.958,0.958,0.941,0.945,0.17,37195996,37195996,-5.405405405405405,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160726.html
4,161912,万家社会责任18个月定开A,2.3511,07-29,暂停申购,暂停赎回,2027-01-15,10.0,1000.0,0.15,161912,社会责任定开,2.223,0.012,0.54,4349.0,967427.333,2.241,2.241,2.209,2.211,0.85,114189161,114189161,-5.448513461783859,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161912.html
5,166024,中欧恒利三年定期开放混合,1.1018,07-29,暂停申购,暂停赎回,2026-12-01,10.0,100000000000.0,0.15,166024,中欧恒利定开,1.033,0.006,0.58,4604.0,474822.69,1.025,1.035,1.022,1.027,0.54,88760970,88760970,-6.244327464149571,T+1,T+1,https://fundf10.eastmoney.com/jjfl_166024.html
6,161132,易方达科顺定开混合,1.8081,07-29,暂停申购,暂停赎回,2027-12-21,10.0,100000000000.0,0.15,161132,易方达科顺定开,1.693,0.004,0.24,687.0,115776.9,1.689,1.693,1.682,1.689,1.01,11540836,11540836,-6.365798351861068,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161132.html
7,166027,中欧创业板两年定开混合A,0.9112,07-29,暂停申购,暂停赎回,2026-07-16,10.0,100000000000.0,0.15,166027,中欧创业定开,0.853,-0.002,-0.23,417.0,35282.4,0.828,0.859,0.828,0.855,0.06,63956025,63956025,-6.3871817383669915,T+1,T+1,https://fundf10.eastmoney.com/jjfl_166027.html
8,161914,万家创业板2年定期开放混合A,0.7143,07-29,暂停申购,暂停赎回,2026-10-08,10.0,100000000000.0,0.15,161914,创业板2年定开,0.663,-0.004,-0.6,4888.0,323974.954,0.656,0.67,0.656,0.667,0.3,107566968,107566968,-7.181856362872743,T+1,T+1,https://fundf10.eastmoney.com/jjfl_161914.html
9,160926,大成创业板两年定开混合A,0.9599,07-29,暂停申购,暂停赎回,2026-08-13,10.0,100000000000.0,0.15,160926,创业板定开,0.889,-0.004,-0.45,9220.0,819642.035,0.888,0.897,0.886,0.893,1.21,67599180,67599180,-7.386186061048022,T+1,T+1,https://fundf10.eastmoney.com/jjfl_160926.html
10,501065,汇添富经典成长定开混合,1.159,07-29,暂停申购,暂停赎回,2028-01-03,10.0,100000000000.0,0.15,501065,经典成长,1.073,0.001,0.09,175.0,18725.0,1.073,1.073,1.071,1.072,0.13,13897067,13897067,-7.420189818809325,T+1,T+1,https://fundf10.eastmoney.com/jjfl_501065.html
